TransID,OrderID,AccountNumber,Supplier,Address,City,PostalCode,StateProvince,Country,Employee,DueDate,ShipDate,OrderDate,CarrierTrackingNumber,ProductID,OrderQty,Class,Color,ListPrice,SpecialOfferID,UnitPrice,UnitPriceDiscount,PurchasedAmount,DiscountAmount,NetPurchaseAmount,OrderYear,OrderMonth
12,65273,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-02-10,2014-02-05,2014-01-29,E3DE-4453-81,19,2,High,Silver,2319.99,1,1391.994,0.0,2783.99,0.0,2783.99,2014,2014-01
13,65273,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-02-10,2014-02-05,2014-01-29,E3DE-4453-81,4,1,Low,Not Specified,44.54,1,26.724,0.0,26.72,0.0,26.72,2014,2014-01
14,65273,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-02-10,2014-02-05,2014-01-29,E3DE-4453-81,17,1,High,Black,2294.99,1,1376.994,0.0,1376.99,0.0,1376.99,2014,2014-01
15,65273,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-02-10,2014-02-05,2014-01-29,E3DE-4453-81,7,5,Medium,Not Specified,61.92,1,37.152,0.0,185.76,0.0,185.76,2014,2014-01
16,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,19,3,High,Silver,2319.99,1,1391.994,0.0,4175.98,0.0,4175.98,2013,2013-10
17,65273,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2014-02-10,2014-02-05,2014-01-29,E3DE-4453-81,16,2,High,Black,2294.99,1,1376.994,0.0,2753.99,0.0,2753.99,2014,2014-01
18,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,16,6,High,Black,2294.99,1,1376.994,0.0,8261.96,0.0,8261.96,2013,2013-10
19,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,21,2,High,Silver,2319.99,1,1391.994,0.0,2783.99,0.0,2783.99,2013,2013-10
20,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,39,1,Low,Silver,564.99,1,338.994,0.0,338.99,0.0,338.99,2013,2013-10
21,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,18,4,High,Black,2294.99,1,1376.994,0.0,5507.98,0.0,5507.98,2013,2013-10
22,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,7,5,Medium,Not Specified,61.92,1,37.152,0.0,185.76,0.0,185.76,2013,2013-10
23,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,38,2,Low,Silver,564.99,1,338.994,0.0,677.99,0.0,677.99,2013,2013-10
24,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,4,1,Low,Not Specified,44.54,1,26.724,0.0,26.72,0.0,26.72,2013,2013-10
25,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,17,4,High,Black,2294.99,1,1376.994,0.0,5507.98,0.0,5507.98,2013,2013-10
26,59018,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-11-11,2013-11-06,2013-10-30,F605-4DA0-8F,35,3,Low,Silver,564.99,1,338.994,0.0,1016.98,0.0,1016.98,2013,2013-10
27,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,20,3,High,Silver,2319.99,1,1391.994,0.0,4175.98,0.0,4175.98,2013,2013-07
28,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,4,8,Low,Not Specified,44.54,1,26.724,0.0,213.79,0.0,213.79,2013,2013-07
29,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,33,1,Low,Black,539.99,1,323.994,0.0,323.99,0.0,323.99,2013,2013-07
30,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,21,3,High,Silver,2319.99,1,1391.994,0.0,4175.98,0.0,4175.98,2013,2013-07
31,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,31,2,Low,Black,539.99,1,323.994,0.0,647.99,0.0,647.99,2013,2013-07
32,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,16,8,High,Black,2294.99,1,1376.994,0.0,11015.95,0.0,11015.95,2013,2013-07
33,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,39,5,Low,Silver,564.99,1,338.994,0.0,1694.97,0.0,1694.97,2013,2013-07
34,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,17,8,High,Black,2294.99,1,1376.994,0.0,11015.95,0.0,11015.95,2013,2013-07
35,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,1,1,High,Not Specified,120.27,1,72.162,0.0,72.16,0.0,72.16,2013,2013-07
36,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,38,2,Low,Silver,564.99,1,338.994,0.0,677.99,0.0,677.99,2013,2013-07
37,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,35,7,Low,Silver,564.99,1,338.994,0.0,2372.96,0.0,2372.96,2013,2013-07
38,53566,10-4020-000015,Tsoflias Lynn,25 Epping Road ,Lavender Bay,2060,New South Wales,Australia,Carey Richard,2013-08-12,2013-08-07,2013-07-31,3543-47B0-87,19,8,High,Silver,2319.99,1,1391.994,0.0,11135.95,0.0,11135.95,2013,2013-07
39,53579,10-4020-000033,Tsoflias Lynn,Ctrcrt Bus Pk/995-27 Paul St N ,Lavender Bay,2060,New South Wales,Australia,Loh Kok-Ho,2013-08-12,2013-08-07,2013-07-31,6E44-48DF-94,37,1,Low,Silver,564.99,1,338.994,0.0,338.99,0.0,338.99,2013,2013-07
40,59004,10-4020-000033,Tsoflias Lynn,Ctrcrt Bus Pk/995-27 Paul St N ,Lavender Bay,2060,New South Wales,Australia,Loh Kok-Ho,2013-11-11,2013-11-06,2013-10-30,A192-44DB-B7,20,1,High,Silver,2319.99,1,1391.994,0.0,1391.99,0.0,1391.99,2013,2013-10
41,65318,10-4020-000033,Tsoflias Lynn,Ctrcrt Bus Pk/995-27 Paul St N ,Lavender Bay,2060,New South Wales,Australia,Loh Kok-Ho,2014-02-10,2014-02-05,2014-01-29,2DF6-497B-AD,19,1,High,Silver,2319.99,1,1391.994,0.0,1391.99,0.0,1391.99,2014,2014-01
42,71934,10-4020-000033,Tsoflias Lynn,Ctrcrt Bus Pk/995-27 Paul St N ,Lavender Bay,2060,New South Wales,Australia,Loh Kok-Ho,2014-05-13,2014-05-08,2014-05-01,8820-4382-9F,39,1,Low,Silver,564.99,16,112.998,0.4,113.0,45.2,67.8,2014,2014-05
43,53532,10-4020-000051,Tsoflias Lynn,2-252 Beauchamp Road Botany Bay Industrial Estate,Cloverdale,6105,South Australia,Australia,Lugo Jose,2013-08-12,2013-08-07,2013-07-31,6D14-41C5-9E,94,3,Medium,Blue,1214.85,1,728.91,0.0,2186.73,0.0,2186.73,2013,2013-07
44,71905,10-4020-000051,Tsoflias Lynn,2-252 Beauchamp Road Botany Bay Industrial Estate,Cloverdale,6105,South Australia,Australia,Lugo Jose,2014-05-13,2014-05-08,2014-05-01,B6E3-4BC1-8F,87,3,High,Yellow,2384.07,1,1430.442,0.0,4291.33,0.0,4291.33,2014,2014-05
45,53588,10-4020-000069,Abbas Syed,65 Epping Rd ,Lavender Bay,2060,New South Wales,Australia,Decker Barbara,2013-08-12,2013-08-07,2013-07-31,FBE8-4B63-BF,3,1,High,Not Specified,91.57,1,54.942,0.0,54.94,0.0,54.94,2013,2013-07
46,71937,10-4020-000069,Tsoflias Lynn,65 Epping Rd ,Lavender Bay,2060,New South Wales,Australia,Decker Barbara,2014-05-13,2014-05-08,2014-05-01,11C9-41E4-BB,3,3,High,Not Specified,91.57,1,54.942,0.0,164.83,0.0,164.83,2014,2014-05
47,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,91,1,Medium,Blue,1214.85,1,728.91,0.0,728.91,0.0,728.91,2014,2014-03
48,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,90,9,High,Yellow,2384.07,1,1430.442,0.0,12873.98,0.0,12873.98,2014,2014-03
49,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,96,2,Low,Blue,742.35,1,445.41,0.0,890.82,0.0,890.82,2014,2014-03
50,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,83,1,High,Blue,2384.07,1,1430.442,0.0,1430.44,0.0,1430.44,2014,2014-03
51,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,102,3,Low,Yellow,742.35,1,445.41,0.0,1336.23,0.0,1336.23,2014,2014-03
52,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,100,2,Low,Yellow,742.35,1,445.41,0.0,890.82,0.0,890.82,2014,2014-03
53,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,101,2,Low,Yellow,742.35,1,445.41,0.0,890.82,0.0,890.82,2014,2014-03
54,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,93,2,Medium,Blue,1214.85,1,728.91,0.0,1457.82,0.0,1457.82,2013,2013-12
55,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,84,5,High,Blue,2384.07,1,1430.442,0.0,7152.21,0.0,7152.21,2014,2014-03
56,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,94,3,Medium,Blue,1214.85,1,728.91,0.0,2186.73,0.0,2186.73,2014,2014-03
57,69550,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-04-12,2014-04-07,2014-03-31,EBD9-44F1-9B,86,5,High,Blue,2384.07,1,1430.442,0.0,7152.21,0.0,7152.21,2014,2014-03
58,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,94,4,Medium,Blue,1214.85,1,728.91,0.0,2915.64,0.0,2915.64,2013,2013-12
59,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,97,1,Low,Blue,742.35,1,445.41,0.0,445.41,0.0,445.41,2013,2013-12
60,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,90,2,High,Yellow,2384.07,1,1430.442,0.0,2860.88,0.0,2860.88,2013,2013-12
61,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,87,2,High,Yellow,2384.07,1,1430.442,0.0,2860.88,0.0,2860.88,2013,2013-12
62,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,98,1,Low,Blue,742.35,1,445.41,0.0,445.41,0.0,445.41,2013,2013-12
63,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,100,1,Low,Yellow,742.35,1,445.41,0.0,445.41,0.0,445.41,2013,2013-12
64,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,83,1,High,Blue,2384.07,1,1430.442,0.0,1430.44,0.0,1430.44,2013,2013-12
65,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,97,2,Low,Blue,742.35,1,445.41,0.0,890.82,0.0,890.82,2013,2013-09
66,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,86,2,High,Blue,2384.07,1,1430.442,0.0,2860.88,0.0,2860.88,2013,2013-12
67,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,84,1,High,Blue,2384.07,1,1430.442,0.0,1430.44,0.0,1430.44,2013,2013-12
68,63222,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2014-01-12,2014-01-07,2013-12-31,BC72-4C6D-81,88,1,High,Yellow,2384.07,1,1430.442,0.0,1430.44,0.0,1430.44,2013,2013-12
69,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,88,2,High,Yellow,2384.07,1,1430.442,0.0,2860.88,0.0,2860.88,2013,2013-09
70,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,91,2,Medium,Blue,1214.85,1,728.91,0.0,1457.82,0.0,1457.82,2013,2013-09
71,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,101,4,Low,Yellow,742.35,1,445.41,0.0,1781.64,0.0,1781.64,2013,2013-09
72,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,104,5,Low,Yellow,742.35,1,445.41,0.0,2227.05,0.0,2227.05,2013,2013-09
73,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,93,8,Medium,Blue,1214.85,1,728.91,0.0,5831.28,0.0,5831.28,2013,2013-09
74,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,88,6,High,Yellow,2384.07,14,953.628,0.2,5721.77,1144.35,4577.42,2013,2013-06
75,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,85,1,High,Blue,2384.07,1,1430.442,0.0,1430.44,0.0,1430.44,2013,2013-06
76,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,96,3,Low,Blue,742.35,1,445.41,0.0,1336.23,0.0,1336.23,2013,2013-09
77,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,86,3,High,Blue,2384.07,1,1430.442,0.0,4291.33,0.0,4291.33,2013,2013-09
78,57127,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-10-12,2013-10-07,2013-09-30,31B1-4EAC-B8,102,1,Low,Yellow,742.35,1,445.41,0.0,445.41,0.0,445.41,2013,2013-09
79,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,83,13,High,Blue,2384.07,2,1382.7606,0.02,17975.89,359.52,17616.37,2013,2013-06
80,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,3,2,High,Not Specified,91.57,1,54.942,0.0,109.88,0.0,109.88,2013,2013-06
81,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,96,3,Low,Blue,742.35,13,334.0575,0.15,1002.17,150.33,851.84,2013,2013-06
82,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,90,13,High,Yellow,2384.07,14,953.628,0.2,12397.16,2479.43,9917.73,2013,2013-06
83,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,93,3,Medium,Blue,1214.85,1,728.91,0.0,2186.73,0.0,2186.73,2013,2013-06
84,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,87,6,High,Yellow,2384.07,14,953.628,0.2,5721.77,1144.35,4577.42,2013,2013-06
85,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,101,2,Low,Yellow,742.35,13,334.0575,0.15,668.12,100.22,567.9,2013,2013-06
86,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,84,2,High,Blue,2384.07,1,1430.442,0.0,2860.88,0.0,2860.88,2013,2013-06
87,51814,10-4020-000087,Tsoflias Lynn,99 - 6 Orion Road ,Lane Cove,1597,New South Wales,Australia,Deniut Bruno,2013-07-12,2013-07-07,2013-06-30,A4D8-45E5-BB,102,3,Low,Yellow,742.35,13,334.0575,0.15,1002.17,150.33,851.84,2013,2013-06
88,51134,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2013-06-11,2013-06-06,2013-05-30,F0D9-4CB2-A9,100,1,Low,Yellow,742.35,13,334.0575,0.15,334.06,50.11,283.95,2013,2013-05
89,51134,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2013-06-11,2013-06-06,2013-05-30,F0D9-4CB2-A9,96,2,Low,Blue,742.35,13,334.0575,0.15,668.12,100.22,567.9,2013,2013-05
90,51134,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2013-06-11,2013-06-06,2013-05-30,F0D9-4CB2-A9,90,1,High,Yellow,2384.07,14,953.628,0.2,953.63,190.73,762.9,2013,2013-05
91,51134,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2013-06-11,2013-06-06,2013-05-30,F0D9-4CB2-A9,86,1,High,Blue,2384.07,1,1430.442,0.0,1430.44,0.0,1430.44,2013,2013-05
92,67312,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2014-03-13,2014-03-08,2014-03-01,62EC-4104-83,87,2,High,Yellow,2384.07,1,1430.442,0.0,2860.88,0.0,2860.88,2014,2014-03
93,67312,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2014-03-13,2014-03-08,2014-03-01,62EC-4104-83,104,1,Low,Yellow,742.35,1,445.41,0.0,445.41,0.0,445.41,2014,2014-03
94,67312,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2014-03-13,2014-03-08,2014-03-01,62EC-4104-83,83,1,High,Blue,2384.07,1,1430.442,0.0,1430.44,0.0,1430.44,2014,2014-03
95,61225,10-4020-000123,Tsoflias Lynn,Chabbell Park ,North Ryde,2113,New South Wales,Australia,Coleman Eric,2013-12-12,2013-12-07,2013-11-30,73E4-402F-A4,96,1,Low,Blue,742.35,1,445.41,0.0,445.41,0.0,445.41,2013,2013-11
